ID,Scenario,BestFilter,BestQ,BestR,MaxCorr,MinRMSE
GDN0011,Apnea,BiDirectional,1.17200886882258,87.851099033986,0.557372714595772,7.82093666501535
GDN0011,Resting,Standard,53.3410617802889,128.908091914348,0.247788378535277,10.0428301245784
GDN0011,TiltDown,Standard,10.6058333085706,139.183186867584,0.518671549389438,8.80089628107194
GDN0011,TiltUp,Standard,0.0268269579527973,3.43332001828199,0.565000211281047,6.25680972373403
GDN0011,Valsalva,Standard,14.226344359243,204.230103469936,0.368862704048416,8.08591487646798
GDN0012,Apnea,BiDirectional,0.0372759372031494,1,0.459311734489777,5.90458192424211
GDN0012,Resting,Standard,0.233031182433117,37.7898041001352,0.380207624453811,5.27086687234512
GDN0012,TiltDown,Standard,1.01194436913883,64.6428974162136,0.625581609927228,6.90789834618153
GDN0012,TiltUp,Standard,0.873740321829247,189.152968417271,0.478519077788372,9.68154018793385
GDN0012,Valsalva,Standard,9.15736525732526,81.3655571762678,0.410057700840873,10.7257160822077
GDN0013,Apnea,Standard,7.90671850257184,10000,0.344829058748972,4.79596594880025
GDN0013,Resting,Standard,5.08948099993517,102.414250586237,0.235789545338449,13.9768381967393
GDN0013,TiltDown,Standard,0.001,220.509017185121,0.671270261419354,18.9485657797755
GDN0013,TiltUp,Standard,0.001,189.152968417271,0.437292645374724,12.2604847007157
GDN0013,Valsalva,Standard,0.562418500845926,11.7876863479359,0.228782155364478,13.0180708605193
GDN0014,Apnea,Standard,1.82076408349217,47.5657587931431,0.483948589292242,7.06415954423638
GDN0014,Resting,Standard,0.1,9.21055317689482,0.217908977136525,35.9769100634691
GDN0014,TiltDown,Standard,1.01194436913883,94.8535949278832,0.636567389839013,6.86430743108646
GDN0014,TiltUp,Standard,0.001,7.19685673001152,0.747079903425006,8.44437298022987
GDN0014,Valsalva,Standard,10.6058333085706,94.8535949278832,0.273245500211518,9.43004394282799
GDN0015,Resting,Standard,5.08948099993517,47.5657587931431,0.391865743609959,12.8384858793945
GDN0016,Apnea,Standard,1.17200886882258,4.39397056076079,0.18334862268863,44.2975374779709
GDN0016,Resting,Standard,0.0372759372031494,1,0.335377365041154,10.8622438382826
GDN0016,TiltDown,Standard,3.27605147954561,19.3069772888325,0.775766124939208,7.12107003237616
GDN0016,TiltUp,Standard,0.001,645.236164072049,0.756386681014219,8.79254420770462
GDN0016,Valsalva,Standard,2.10876380062519,150.27729616453,0.406718347349724,7.4353682807481
GDN0017,Apnea,Standard,0.269890935562248,1,0.670766133007725,9.51043228154719
GDN0017,Resting,Standard,0.00138949549437314,1.63789370695406,0.407374647165136,13.7865629493093
GDN0017,TiltDown,Standard,0.001,1.63789370695406,0.759725191499927,11.3976587933056
GDN0017,TiltUp,Standard,0.00719685673001152,15.0859070860018,0.3601753612627,8.26268508553093
GDN0017,Valsalva,Standard,1.01194436913883,2.09617999245313,0.308378420715829,7.72800703673788
GDN0018,Apnea,Standard,39.766112464187,1,0.675596190940399,9.02048561181487
GDN0018,Resting,Standard,61.7782947219854,75.3588056086054,0.320162375198132,17.5235888677685
GDN0018,Valsalva,BiDirectional,82.8675379926578,4252.63157894737,0.572505959698937,12.1935281180307
GDN0019,Apnea,Standard,4.39439647320884,238.085501763973,0.494315126630495,5.89028966375112
GDN0019,Resting,Standard,2.44231792967829,1.63789370695406,0.283608862604496,31.0461800326532
GDN0019,TiltDown,Standard,1.01194436913883,7.19685673001152,0.681525337016067,8.59934367325819
GDN0019,TiltUp,Standard,3.79424156687023,24.709112279856,0.545853493560277,21.1526801063528
GDN0019,Valsalva,Standard,0.362023546574511,7.19685673001152,0.450209136789234,7.26162837706802
GDN0020,Apnea,Standard,0.001,2.09617999245313,0.383019502937267,8.25719710052517
GDN0020,Resting,Standard,0.362023546574511,7.19685673001152,0.214780422041847,16.6847583370253
GDN0020,TiltDown,Standard,0.001,10000,0.455058839112243,10.5191022430145
GDN0020,TiltUp,Standard,0.0517947467923121,47.5657587931431,0.831717397525591,7.99263919323696
GDN0020,Valsalva,Standard,0.0719685673001152,87.851099033986,0.220766373118609,7.46808633331807
GDN0021,Apnea,Standard,25.5970759249787,4.39397056076079,0.667231982720557,5.06035125098668
GDN0021,Resting,Standard,0.1,19.3069772888325,0.296922849522904,4.20922807716988
GDN0021,TiltDown,Standard,0.001,2.68269579527973,0.581065082647449,13.9808678971186
GDN0021,TiltUp,Standard,0.15,1.27980221399795,0.817457819265519,7.67743671231315
GDN0021,Valsalva,Standard,7.90671850257184,35,0.493511998791302,9.66583621243633
GDN0022,Apnea,Standard,95.975127118439,119.391548181803,0.675614006178696,14.5775478760739
GDN0022,Resting,Standard,2.10876380062519,2.09617999245313,0.508502105896948,15.1656653491949
GDN0022,TiltDown,Standard,0.0517947467923121,47.5657587931431,0.727580819880206,2.4923461909579
GDN0022,TiltUp,Standard,0.01,377.200732225993,0.411234061749217,2.73864763887281
GDN0022,Valsalva,Standard,22.101212318234,64.6428974162136,0.265341020143966,10.4105035081222
GDN0023,Apnea,BiDirectional,250,7789.47368421053,0.582290759077823,6.6472816564866
GDN0023,Resting,Standard,34.3351442648229,15.0859070860018,0.590032942874651,3.94748016954948
GDN0023,TiltDown,Standard,14.226344359243,47.5657587931431,0.864571284653951,5.3544158184946
GDN0023,TiltUp,Standard,0.562418500845926,87.851099033986,0.668623394447295,7.55974477713171
GDN0023,Valsalva,BiDirectional,172.685445658008,9557.8947368421,0.746427683006297,6.13609406391404
GDN0024,Resting,Standard,0.001,1,0.195065900168517,20.5226378796861
