ID,Scenario,BestFilter,BestQ,BestR,MaxCorr,MinRMSE
GDN0001,Resting,Standard,3000,1,0.34945057465843,12.048879520823
GDN0001,TiltDown,BiDirectional,0.362023546574511,9557.8947368421,0.289514039302686,11.2090032617939
GDN0001,TiltUp,Standard,0.0517947467923121,7.19685673001152,0.413919103811785,26.3278736159552
GDN0001,Valsalva,Standard,3.27605147954561,9.21055317689482,0.465702217658868,9.44398572536678
GDN0002,Resting,Standard,5.08948099993517,19.3069772888325,0.360488225934946,33.3562100638518
GDN0002,TiltDown,Standard,1.82076408349217,87.851099033986,0.34109339044203,14.8971579698849
GDN0002,TiltUp,Standard,0.233031182433117,1,0.295184501029301,19.6862758971149
GDN0002,Valsalva,BiDirectional,12.2834130788008,9557.8947368421,0.301311517133969,26.2417816271921
GDN0003,Resting,BiDirectional,2855.26315789474,2042.10526315789,0.624544031921968,8.77537495298992
GDN0003,TiltDown,Standard,1.01194436913883,128.908091914348,0.582038169437255,9.38443942855123
GDN0003,TiltUp,BiDirectional,0.00719685673001152,119.391548181803,0.504710680930015,10.3279950325643
GDN0003,Valsalva,BiDirectional,539.473684210526,6905.26315789474,0.555076778222484,11.3894997732209
GDN0004,Apnea,Standard,0.1,35,0.795110491524114,7.55446822733446
GDN0004,Resting,Standard,0.00138949549437314,24.709112279856,0.636586733976252,7.42949261249982
GDN0004,TiltDown,Standard,0.001,1.63789370695406,0.812397939650645,4.93357706703532
GDN0004,TiltUp,BiDirectional,0.0372759372031494,10000,0.73050212194879,5.58525811046022
GDN0004,Valsalva,Standard,0.201205467953376,1,0.392661433575913,17.3215885086678
GDN0005,Apnea,Standard,0.00138949549437314,9.21055317689482,0.323778647059029,20.7791289493907
GDN0005,Resting,Standard,19.0827884937824,2.09617999245313,0.275299735921482,15.3858393202582
GDN0005,TiltDown,Standard,12.2834130788008,1.63789370695406,0.301024527145579,19.8181855205484
GDN0005,TiltUp,Standard,0.0517947467923121,2.09617999245313,0.539016943441994,20.9867128747665
GDN0005,Valsalva,Standard,0.0517947467923121,2.68269579527973,0.267401966624052,11.2108958348099
GDN0006,Apnea,BiDirectional,0.1,24.709112279856,0.720204077015983,6.12365736968549
GDN0006,Resting,BiDirectional,0.001,1.27980221399795,0.331106294418609,11.3509635034515
GDN0006,TiltDown,Standard,4.39439647320884,204.230103469936,0.716270928278261,8.75718414976346
GDN0006,TiltUp,BiDirectional,0.001,5578.94736842105,0.724579481563327,3.4530982246792
GDN0006,Valsalva,BiDirectional,0.00138949549437314,2.09617999245313,0.519030451127078,13.7828296702706
GDN0007,Apnea,Standard,2.44231792967829,1,0.233995094243673,10.7325666353262
GDN0007,Resting,BiDirectional,3000,1,0.206256034828704,17.0502290183851
GDN0007,TiltDown,BiDirectional,0.001,3.43332001828199,0.418728785475978,12.9419258042244
GDN0007,TiltUp,Standard,14.226344359243,55.4507751631076,0.26931227153399,11.3034819640426
GDN0007,Valsalva,Standard,5.08948099993517,87.851099033986,0.368700039562905,9.22434312947382
GDN0008,Apnea,Standard,5.08948099993517,15.0859070860018,0.558148935629815,8.31725697131741
GDN0008,Resting,Standard,0.419286692280339,24.709112279856,0.32424837752436,3.87070299274042
GDN0008,TiltDown,Standard,0.001,4.39397056076079,0.584111593780436,9.44387740662413
GDN0008,TiltUp,BiDirectional,1.17200886882258,9115.78947368421,0.895960465546856,19.1205812513179
GDN0008,Valsalva,Standard,7.90671850257184,162.255702364445,0.757090716302453,6.24072900802551
GDN0009,Apnea,Standard,0.0372759372031494,1,0.399250759788941,19.2689835149399
GDN0009,Resting,Standard,1.82076408349217,1,0.132300768881821,16.6970478558784
GDN0009,TiltDown,Standard,0.754411184322273,2.68269579527973,0.774204747619239,6.69879453839757
GDN0009,TiltUp,Standard,0.001,75.3588056086054,0.748340862211181,24.579827492992
GDN0009,Valsalva,Standard,9.15736525732526,31.6227766016838,0.390912210521393,13.8219215638779
GDN0010,Apnea,Standard,7.90671850257184,94.8535949278832,0.694076374311764,5.90439146056405
GDN0010,Resting,Standard,0.754411184322273,2.09617999245313,0.321764558464983,3.61235773284045
GDN0010,Valsalva,Standard,2.82863204871955,40.8019798264742,0.623328142944416,4.81778633400573
